job_id,company,job_title,included,score,reason,matched_keywords,excluded_title_keywords,audit_category,category_evidence
183,Applied Intuition,Associate Editor,True,3,score_at_or_above_threshold,automotive; autonomy; infrastructure,,,
882,Motional,Staff Motion Planning Engineer,True,10,score_at_or_above_threshold,autonomous; autonomous vehicle; motion planning; perception; robotics; software; vehicle,,,
1539,Waymo,Strategic Partnerships Development Manager - Telco Partnerships,True,6,score_at_or_above_threshold,automotive; autonomous; autonomous vehicle; infrastructure; simulation; vehicle,,,
980,Nuro,"Senior Software Engineer, Collision Avoidance Testing",True,12,score_at_or_above_threshold,autonomous; autonomous vehicle; autonomy; infrastructure; robot; robotics; simulation; software; vehicle,,,
1667,Wayve,Shift Lead,True,6,score_at_or_above_threshold,automated driving; autonomy; fleet operations; hardware; software; vehicle,,,
1101,Torc Robotics,Senior BI Analyst,True,4,score_at_or_above_threshold,autonomous; autonomous vehicle; software; vehicle,,,
658,Gatik,Senior/Staff Behavior Prediction Engineer,True,12,score_at_or_above_threshold,automotive; autonomous; autonomous vehicle; autonomy; hardware; infrastructure; lidar; machine learning; robot; robotics; software; vehicle,,,
1538,Waymo,Vehicle Package and Integration Lead,True,10,score_at_or_above_threshold,ADAS; automotive; autonomous; hardware; simulation; software; vehicle,,,
1583,Waymo,"Program Manager, Extended Workforce Solution & Business Operations",True,5,score_at_or_above_threshold,autonomous; hardware; simulation; software; vehicle,,,
1376,Waymo,Head of Technical Services,True,8,score_at_or_above_threshold,DevOps; autonomous; autonomous vehicle; hardware; robotics; simulation; software; vehicle,,,
1488,Waymo,Senior Accountant,False,3,excluded_title_keyword,autonomous; simulation; vehicle,accountant,Finance / Accounting,accountant
1158,Vay,Head of Customer Experience,True,3,score_at_or_above_threshold,automotive; autonomous; embedded,,,
1796,XPENG,Staff Technical Program Manager,True,11,score_at_or_above_threshold,autonomous; infrastructure; machine learning; robotics; simulation; software; technical program; vehicle,,,
1803,XPENG,Senior Machine Learning Engineer - LLM Quantization & Deployment,True,11,score_at_or_above_threshold,autonomous; hardware; infrastructure; machine learning; robotics; simulation; software; vehicle,,,
501,Avride,Robot Service Technician Assistant – Part Time Weekend/Contract,True,15,score_at_or_above_threshold,automotive; autonomous; autonomous vehicle; hardware; robot; robotics; software; technician; vehicle,,,
1576,Waymo,Senior Signal and Power Integrity Engineer,True,6,score_at_or_above_threshold,automotive; autonomous; hardware; simulation; software; vehicle,,,
1653,Wayve,Trainer,True,5,score_at_or_above_threshold,automated driving; autonomy; hardware; software; vehicle,,,
1671,Wayve,"Principal Engineer, 3D Reconstruction",True,14,score_at_or_above_threshold,automated driving; autonomous; autonomy; hardware; infrastructure; lidar; localization; machine learning; mapping; perception; robotics; sensor fusion; software; vehicle,,,
1431,Waymo,"Staff Machine Learning Engineer, Multi-Modal Perception",True,14,score_at_or_above_threshold,autonomous; computer vision; hardware; machine learning; perception; robotics; simulation; vehicle,,,
822,Latitude AI (Ford),"Senior Cyber Security Engineer - Automation, Data Center & Networking Security",True,16,score_at_or_above_threshold,ADAS; automated driving; autonomy; controls; fleet operations; hardware; infrastructure; machine learning; mapping; robotics; safety engineering; security engineer; software,,,
1722,Wayve,"Senior Software Engineer, Data",True,11,score_at_or_above_threshold,automated driving; autonomous; autonomy; hardware; infrastructure; lidar; robotics; software,,,
1389,Waymo,"Software Engineer, Trip Platform",True,7,score_at_or_above_threshold,autonomous; autonomous vehicle; simulation; software; vehicle,,,
1337,Waymo,"EHS Manager, Americas Subregional",True,10,score_at_or_above_threshold,automotive; autonomous; autonomous vehicle; controls; hardware; infrastructure; safety engineering; simulation; software; vehicle,,,
1438,Waymo,Silicon Emulation Engineer,True,10,score_at_or_above_threshold,automotive; autonomous; autonomous vehicle; embedded; firmware; hardware; infrastructure; simulation; software; vehicle,,,
474,Avride,Lead Data Scientist – Autonomous Driving,True,8,score_at_or_above_threshold,autonomous; autonomy; hardware; infrastructure; simulation,,,
1095,Torc Robotics,"Senior, ML Engineer - 3D Reconstruction",True,13,score_at_or_above_threshold,autonomous; autonomous vehicle; computer vision; lidar; machine learning; mapping; perception; radar; robotics; sensor fusion; simulation; software; vehicle,,,
1999,Zoox,"Senior / Staff Program Manager, Operations Cost Analytics",True,5,score_at_or_above_threshold,autonomous; autonomous vehicle; fleet operations; infrastructure; vehicle,,,
1217,Waabi,Senior Accountant,False,2,excluded_title_keyword,controls; software,accountant,Finance / Accounting,accountant
1979,Zoox,Senior Software Engineer - Full Stack Operational Tools,True,9,score_at_or_above_threshold,autonomous; autonomous vehicle; infrastructure; robotics; software; vehicle,,,
2014,Zoox,Senior Software Development Engineer in Test - Verification And Validation,True,13,score_at_or_above_threshold,autonomous; hardware; infrastructure; lidar; machine learning; radar; robotics; simulation; software; vehicle,,,
1867,Zoox,"Senior Data Scientist, Autonomy Behavior Monitoring",True,10,score_at_or_above_threshold,autonomous; autonomous vehicle; autonomy; robotics; simulation; software; vehicle,,,
2039,Zoox,"Manager, Technical Program Management - System Safety for Cross Functional Initiatives",True,14,score_at_or_above_threshold,automotive; autonomous; autonomy; hardware; mapping; robot; robotics; simulation; software; technical program; vehicle,,,
1169,Waabi,"Senior / Staff Software Engineer, Mapping",True,10,score_at_or_above_threshold,infrastructure; machine learning; mapping; software,,,
2041,Zoox,"Manager, Enterprise Applications",True,2,included_for_llm_review,infrastructure; software,,,
1893,Zoox,Machine Learning Engineer - 3D Sensor Simulation,True,10,score_at_or_above_threshold,machine learning; perception; simulation; software,,,
1074,Plus AI,"Software Engineer (SE / Sr SE), Fullstack",True,9,score_at_or_above_threshold,autonomous; autonomy; robotics; simulation; software; vehicle,,,
1885,Zoox,Senior/Staff Technical Program Manager - Live Service Operations,True,10,score_at_or_above_threshold,automotive; autonomous; autonomous vehicle; robotics; simulation; software; technical program; vehicle,,,
1757,WeRide,Data Annotator,True,1,included_for_llm_review,machine learning,,,
1055,Plus AI,"Software Engineer, Runtime & C++ Middleware",True,8,score_at_or_above_threshold,autonomous; infrastructure; robotics; software; vehicle,,,
1911,Zoox,"Senior Director/Director of Engineering, Product Software",True,7,score_at_or_above_threshold,fleet operations; infrastructure; software; vehicle,,,
1960,Zoox,"Senior Systems Integration Engineer, Body",True,7,score_at_or_above_threshold,automotive; autonomous; controls; embedded; firmware; software; vehicle,,,
1940,Zoox,Senior/Staff Technical Program Manager - Fleet Orchestration,True,9,score_at_or_above_threshold,autonomous; autonomous vehicle; fleet operations; robotics; software; technical program; vehicle,,,
1845,Zoox,Senior SAP BRIM Analyst - Convergent Charging (CC),True,0,included_for_llm_review,,,,
2000,Zoox,Logistics & Operations Planning Manager (Sales and Operations Planning / S&OP),False,3,excluded_title_keyword,automotive; fleet operations; hardware,sales,Business / Commercial Operations,sales and operations planning; S&OP
1235,Waabi,Platform Verification Engineer - Embedded Systems,True,12,score_at_or_above_threshold,automotive; autonomous; autonomous vehicle; embedded; hardware; infrastructure; robotics; software; vehicle,,,
2028,Zoox,"Senior/Staff Systems Engineer, Fail Operational",True,10,score_at_or_above_threshold,autonomous; hardware; mapping; robotics; software; systems engineer; vehicle,,,
1057,Plus AI,Field Service Engineer,True,6,score_at_or_above_threshold,automotive; autonomous; autonomous vehicle; hardware; software; vehicle,,,
1069,Plus AI,Senior Mechanical Engineer,True,2,included_for_llm_review,autonomous; hardware,,,
1240,Waabi,Applied Scientist,True,8,score_at_or_above_threshold,autonomous; autonomous vehicle; autonomy; infrastructure; robotics; simulation; software; vehicle,,,
1205,Waabi,"Senior / Staff Software Engineer, Web Tools",True,8,score_at_or_above_threshold,infrastructure; machine learning; robotics; simulation; software,,,
1936,Zoox,"Financial Analyst, Production Manufacturing",False,1,excluded_title_keyword,robotics,financial analyst,Finance / Cost Accounting,product costing
607,Bosch,ASSISTENTE BACKOFFICE JR - ATENDIMENTO AO CLIENTE (35706),True,0,included_for_llm_review,,,,
609,Bosch,Servicetechniker für Industriekessel Region Tirol (w/m/div.),True,0,included_for_llm_review,,,,
544,Bosch,"PreMaster Programm - GapYear - Konstruktion, Automation & Inbetriebnahme von Lernfabriken",True,0,included_for_llm_review,,,,
629,Bosch,Responsable Vente Grands Comptes en Hydraulique Mobile F/H,True,0,included_for_llm_review,,,,
568,Bosch,Pflichtpraktikum im Bereich Operational Excellence in der Fertigung,True,0,included_for_llm_review,,,,
546,Bosch,Input/Output Software Developer trainee for Transmission Control,True,6,score_at_or_above_threshold,automotive; hardware; software,,,
577,Bosch,Praktikum im Projektcontrolling,True,0,included_for_llm_review,,,,
540,Bosch,SAP Warehouse management staff (shipping and packaging) (1.5 years contract),True,3,score_at_or_above_threshold,automotive; software; vehicle,,,
608,Bosch,eAxle Physical Analysis Team Leader,True,2,included_for_llm_review,automotive; simulation,,,
575,Bosch,Werkstudent in der Weiterbildung und Führungskräfteentwicklung (w/m/div.),True,0,included_for_llm_review,,,,
567,Bosch,Leitender Ingenieur für analoges ASIC-Design (m/w/d) (w/m/div.),True,1,included_for_llm_review,automotive,,,
536,Bosch,Selenium C# Automation Test Engineer_L91,True,1,included_for_llm_review,software,,,
631,Bosch,Gyártósorért felelős mérnök | Line Planner - Teljesítményelektronikai gyártóterület,True,0,included_for_llm_review,,,,
548,Bosch,Pflichtpraktikum in der Werkslogistik – Logistikplanung,True,0,included_for_llm_review,,,,
532,Bosch,SW developer :Java,True,3,score_at_or_above_threshold,automotive; software; vehicle,,,
545,Bosch,Technical consultant,True,2,included_for_llm_review,artificial intelligence; software,,,
628,Bosch,Mandatory Internship Packaging Purchasing,True,0,included_for_llm_review,,,,
581,Bosch,IT Planning & Enablement Leader - SDS,True,6,score_at_or_above_threshold,DevOps; cybersecurity; embedded; infrastructure; machine learning; software,,,
624,Bosch,ASSISTENTE DE VENDAS SR (35520),True,0,included_for_llm_review,,,,
630,Bosch,Estudiante en prácticas - economía y organización CTG/ICO,True,0,included_for_llm_review,,,,
539,Bosch,PreMaster Programm - GapYear - Marketing Performance & Operations Support,False,0,excluded_title_keyword,,marketing,Communications / Marketing and Public Relations,marketing
543,Bosch,"PreMaster Programm - GapYear - Konstruktion, Automation & Inbetriebnahme von Lernfabriken",True,0,included_for_llm_review,,,,
620,Bosch,Analista de Mantenimiento Jr,True,0,included_for_llm_review,,,,
549,Bosch,Mixed-Signal ASIC Design Engineer for Analog Frontends and ADCs (f/m/div.),True,4,score_at_or_above_threshold,automotive; radar; simulation; software,,,
559,Bosch,智驾硬件项目工程师_XC,True,0,included_for_llm_review,,,,
